Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
627708,"The Nurseries, Swords",Swords South,TICO,Tilia cordata,Small-Leafed Lime,Semi-Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,24cm,Fair to Good,53.44803186,-6.236243916
119424,"Glenville Grove, Blanchardstown",Blanchardstown,SOARI,Sorbus aria,Whitebeam,Mature,5.1-10 metres,6 to 9 metres,41cm - 50cm,42cm,Fair,53.38157124,-6.388528761
232012,"Parkmore, Castleknock",Castleknock,FREX,Fraxinus excelsior,Common Ash,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,21cm,Fair,53.37792453,-6.356181577
618192,"Oaklands Avenue, Swords",Swords North,BEPE,Betula pendula,Silver Birch,Newly Planted,Up to 5 metres,Up to 3 metres,1cm - 10cm,4cm,Good,53.45662805,-6.217804742
326348,"The Old Golf Links, Malahide",Malahide,ACPS,Acer pseudoplatanus,Sycamore,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,15cm,Good,53.4497681,-6.145362526
414104,"Woodlands, Portmarnock",Portmarnock,ACPL,Acer platanoides,Norway Maple,Young,10.1- 15 metres,6 to 9 metres,11cm to 20cm,18cm,Good,53.42987233,-6.135857163
502640,"Kelly's Bay Shore, Skerries",Skerries,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,5cm,Fair to Good,53.58314064,-6.128644829
502676,"Kelly's Bay Shore, Skerries",Skerries,BESP,Betula spp.,Birch,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,9cm,Fair to Good,53.58334413,-6.127872777
504260,"Mourne View, Skerries",Skerries,ACPS,Acer pseudoplatanus,Sycamore,Semi-Mature,Up to 5 metres,3 to 6 metres,21cm to 30cm,26cm,Good,53.58224602,-6.123657506
10616,"The Spires, Donabate",Donabate Portra,ACPL,Acer platanoides,Norway Maple,Young,Up to 5 metres,3 to 6 metres,11cm to 20cm,16cm,Fair to Good,53.48548377,-6.146286188
